RecommendationId,calc_total_checkins
1,133
22307,0
22613,0
20,133
3822,1369
13140,1369
20711,176
2454,58
15259,720
18721,359
81,636
476,233
21619,340
1063,431
20785,349
10582,320
540,83
9460,160
12869,502
11921,194
16617,1260
13233,1917
10008,83
4692,210
1808,105
2081,36
20394,82
2773,155
8573,42
13236,647
3332,552
8194,61
4001,105
14877,173
9167,13
6929,88
22236,13
21373,141
17479,11
9609,85
18470,174
22243,102
22302,5
1798,1369
10424,210
17065,162
20431,1534
10924,130
3856,163
15264,959
16690,253
18333,144
4255,48
10774,22
13965,197
11854,48
19079,13
14764,4007
17856,108
15727,776
4847,140
17046,47
1054,1369
10614,1260
6656,463
3701,1369
18261,1347
17524,177
10456,121
7933,20
17300,65
21309,1369
12675,19
16876,0
16912,225
578,96
5879,132
21918,74
11459,134
11787,0
13208,74
5672,24
21519,59
12209,48
1345,475
8023,0
8309,46
9343,0
10099,12
11939,194
12191,12
18117,16
19798,28
20007,0
16468,1369
8038,340
10342,1082
22313,292
8417,1369
6310,269
322,18
17042,74
3496,375
1550,449
8050,349
11349,0
14950,1369
5469,25
16940,34
3409,457
14487,491
9873,163
10115,60
20142,48
10024,16
8903,49
3033,1107
9818,387
21300,120
1286,23
13002,0
16409,425
18165,222
18627,133
13087,46
18775,1369
5320,530
18622,1235
21751,521
7964,1211
13311,576
5571,1107
6526,350
11640,275
11594,384
17386,1369
11927,1328
2379,48
10009,343
18809,521
19412,197
18386,308
19093,148
6037,220
11784,21
18952,149
493,1369
17258,431
3021,120
21763,484
6031,593
6864,301
13131,1369
16825,197
22448,49
19450,31
4652,0
22730,1369
10312,613
18044,201
3467,0
22434,1369
12282,502
15521,1211
10112,737
8742,1369
22093,431
13009,1106
2867,191
12736,58
3181,1369
18830,95
7764,1369
10897,1369
13636,1369
17249,1369
21581,1369
20582,25
15643,502
12010,658
22096,48
14501,16
14663,261
22179,694
11973,227
18733,841
20736,19
13466,181
2,51
446,51
463,51
2889,51
2359,8
1786,15
3042,51
2391,158
3962,51
4072,51
5239,51
19433,12
7525,38
1062,28
2030,1328
11437,97
11279,10
19281,102
5280,51
2400,684
6897,51
2332,229
20098,784
2298,527
16929,1258
2796,163
4301,206
7977,249
7275,51
14103,684
20601,229
18417,141
15226,137
21928,28
3230,184
7694,51
868,372
19540,16
12614,75
7803,155
3568,254
22738,25
10499,51
11565,51
9259,4
12873,51
11336,158
3272,684
18148,184
13765,75
5220,155
13075,275
22780,153
2005,124
2883,172
17206,89
199,466
2193,135
2498,363
19344,276
10826,25
2143,4
18757,184
6996,288
22548,240
19377,176
3009,250
4328,26
5336,56
6102,492
13829,38
22146,23
12876,51
13250,5
90,269
10978,84
20453,303
362,44
21706,26
7350,18
3174,340
12214,18
2815,7
12731,104
21013,18
9057,25
13363,51
17740,51
18594,51
19555,51
19770,51
18063,13
4099,273
16267,8
20140,5
10558,431
2822,136
1713,31
8042,20
5339,0
22360,8
17971,184
16329,153
9180,31
20901,136
21811,98
12633,98
20485,46
3907,11
13401,144
14306,0
4861,28
4771,186
14043,8
2122,179
12344,162
21346,33
11016,19
12070,8
2263,6
4508,197
2850,36
1055,8
7923,158
14358,82
17913,162
4669,21
14707,8
769,222
15670,8
15850,222
1537,57
6946,55
22812,69
11619,149
6671,4
16064,8
2487,28
3200,275
3363,4
654,340
10842,113
15419,47
1370,8
2257,269
7268,534
158,4
5233,0
11210,8
4086,20
10248,8
3131,269
3508,18
9060,7
7343,192
659,8
6319,141
18929,269
15913,51
9569,8
1838,153
15391,0
7361,36
15750,8
2557,153
7230,178
2572,0
14722,55
21510,3
21306,20
962,8
10789,684
18815,4
7192,153
22799,172
3721,340
4166,283
19077,210
15483,42
18375,41
11797,360
8537,40
6334,47
3961,259
3969,269
11420,4
17729,33
10748,64
17864,369
7486,0
11994,150
