RecommendationId,bus_name,bus_review_count
1,The Rock,21
22307,Th Sic Sense,5
22613,Mesa Auto & Truck Clinic,3
20,The Rock,21
3822,Windsor,326
13140,Windsor,326
20711,Vovomeena,60
2454,The Phoenix Cheesesteak Co,25
15259,Arcadia Tavern,160
18721,Pane Bianco,278
81,Total Wine,81
476,Moira Sushi,156
21619,Tuck Shop,227
1063,Federal Pizza,123
20785,The Duce,118
10582,Barrio Café,398
540,CVS/pharmacy,11
9460,Centurion,126
12869,Angels Trumpet Ale House,100
11921,5th Avenue Cafe,58
16617,St Francis Restaurant,461
13233,Lux,461
10008,McGurkee's J P Sandwich Shop,42
4692,Thai Basil,76
1808,Starbucks Coffee,9
2081,Ladybug House of Sandwiches,17
20394,Applebee's,14
2773,Walmart,12
8573,Gypsy Bar,10
13236,Seamus McCaffrey's,127
3332,Giant Coffee,135
8194,Wedge & Bottle,21
4001,Roma Garden Ristorante,71
14877,Pink Spot,84
9167,Superior Court Of AZ In Maricopa County,3
6929,Sacks Art of Sandwicherie,39
22236,Petco,4
21373,Lenny's Burger Shop,94
17479,Bar Maximus,4
9609,Cheese 'n Stuff,58
18470,Starbucks Coffee,9
22243,Sam's Club,4
22302,KFC,3
1798,Windsor,326
10424,Thai Basil,76
17065,Sochu House,51
20431,RnR,264
10924,Baratin,24
3856,Abuelos,70
15264,O.H.S.O. Eatery + nanoBrewery,153
16690,Wandering Horse Buffet,114
18333,Bosa Donuts,53
4255,Elite Event - A Kick-Off To Arizona Cocktail Week,36
10774,China Buffet,22
13965,Sandbar Mexican Grill,52
11854,Beef 'O'Brady's,29
19079,Mcdonalds,3
14764,The Lodge,131
17856,Daily Dose MidTown,23
15727,Hanny's,318
4847,Symphony Hall,20
17046,A Touch of European Cafe,61
1054,Windsor,326
10614,St Francis Restaurant,461
6656,Los Reyes de la Torta,268
3701,Windsor,326
18261,Postino Central,402
17524,Firehouse Subs,32
10456,Casey Jones Pub & Grill,36
7933,Jimmy John's,10
17300,Rubio's Fresh Mexican Grill,15
21309,Windsor,326
12675,Wendy's Old Fashioned Hamburgers,4
