RecommendationId,calc_user_avg_stars,calc_user_rev_count
1,,
22307,,
22613,,
20,,
3822,,
13140,,
20711,,
2454,,
15259,,
18721,,
81,,
476,,
21619,,
1063,,
20785,,
10582,,
540,,
9460,,
12869,,
11921,,
16617,,
13233,,
10008,,
4692,,
1808,,
2081,,
20394,,
2773,,
8573,,
13236,,
3332,,
8194,,
4001,,
14877,,
9167,,
6929,,
22236,,
21373,,
17479,,
9609,,
18470,,
22243,,
22302,,
1798,,
10424,,
17065,,
20431,,
10924,,
3856,,
15264,,
16690,,
18333,,
4255,,
10774,,
13965,,
11854,,
19079,,
14764,,
17856,,
15727,,
4847,,
17046,,
1054,,
10614,,
6656,,
3701,,
18261,,
17524,,
10456,,
7933,,
17300,,
21309,,
12675,,
16876,,
16912,,
578,,
5879,,
21918,,
11459,,
11787,,
13208,,
5672,,
21519,,
12209,,
1345,,
8023,,
8309,,
9343,,
10099,,
11939,,
12191,,
18117,,
19798,,
20007,,
16468,,
8038,,
10342,,
22313,,
8417,,
6310,,
322,,
17042,,
3496,,
1550,,
8050,,
11349,,
14950,,
5469,,
16940,,
3409,,
14487,,
9873,,
10115,,
20142,,
10024,,
8903,,
3033,,
9818,,
21300,,
1286,,
13002,,
16409,,
18165,,
18627,,
13087,,
18775,,
5320,,
18622,,
21751,,
7964,,
13311,,
5571,,
6526,,
11640,,
11594,,
17386,,
11927,,
2379,,
10009,,
18809,,
19412,,
18386,,
19093,,
6037,,
11784,,
18952,,
493,,
17258,,
3021,,
21763,,
6031,,
6864,,
13131,,
16825,,
22448,,
19450,,
4652,,
22730,,
10312,,
18044,,
3467,,
22434,,
12282,,
15521,,
10112,,
8742,,
22093,,
13009,,
2867,,
12736,,
3181,,
18830,,
7764,,
10897,,
13636,,
17249,,
21581,,
20582,,
15643,,
12010,,
22096,,
14501,,
14663,,
22179,,
11973,,
18733,,
20736,,
13466,,
2,,
446,,
463,,
2889,,
2359,,
1786,,
3042,,
2391,,
3962,,
4072,,
5239,,
19433,,
7525,,
1062,,
2030,,
11437,,
11279,,
19281,,
5280,,
2400,,
6897,,
2332,,
20098,,
2298,,
16929,,
2796,,
4301,,
7977,,
7275,,
14103,,
20601,,
18417,,
15226,,
21928,,
3230,,
7694,,
868,,
19540,,
12614,,
7803,,
3568,,
22738,,
10499,,
11565,,
9259,,
12873,,
11336,,
3272,,
18148,,
13765,,
5220,,
13075,,
22780,,
2005,,
2883,,
17206,,
199,,
2193,,
2498,,
19344,,
10826,,
2143,,
18757,,
6996,,
22548,,
19377,,
3009,,
4328,,
5336,,
6102,,
13829,,
22146,,
12876,,
13250,,
90,,
10978,,
20453,,
362,,
21706,,
7350,,
3174,,
12214,,
2815,,
12731,,
21013,,
9057,,
13363,,
17740,,
18594,,
19555,,
19770,,
18063,,
4099,,
16267,,
20140,,
10558,,
2822,,
1713,,
8042,,
5339,,
22360,,
17971,,
16329,,
9180,,
20901,,
21811,,
12633,,
20485,,
3907,,
13401,,
14306,,
4861,,
4771,,
14043,,
2122,,
12344,,
21346,,
11016,,
12070,,
2263,,
4508,,
2850,,
1055,,
7923,,
14358,,
17913,,
4669,,
14707,,
769,,
15670,,
15850,,
1537,,
6946,,
22812,,
11619,,
6671,,
16064,,
2487,,
3200,,
3363,,
654,,
10842,,
15419,,
1370,,
2257,,
7268,,
158,,
5233,,
11210,,
4086,,
10248,,
3131,,
3508,,
9060,,
7343,,
659,3.569948186528497,193.0
6319,3.569948186528497,193.0
18929,3.569948186528497,193.0
15913,3.569948186528497,193.0
9569,,
1838,,
15391,,
7361,,
15750,,
2557,,
7230,,
2572,,
14722,,
21510,,
21306,,
962,,
10789,,
18815,,
7192,,
22799,,
3721,,
4166,,
19077,,
15483,,
18375,,
11797,,
8537,,
6334,,
3961,,
3969,,
11420,,
17729,,
10748,,
17864,,
7486,,
11994,,
10933,,
7831,,
15491,,
8540,,
2754,,
6834,,
9450,,
12488,,
17790,,
9224,,
18376,,
6246,,
2031,,
20950,,
619,,
4481,,
7527,,
22482,,
17709,,
14283,,
271,,
5679,,
1696,,
4753,,
18938,,
9638,,
15844,,
17804,,
21834,,
11527,,
5359,,
19594,,
10934,,
14875,,
18240,,
20800,,
8361,,
15894,,
8641,,
6153,,
728,,
3789,,
8625,,
21608,,
18669,,
8758,,
9918,,
18355,,
15227,,
746,,
15457,,
21517,,
6071,,
1598,,
11935,,
22021,,
17629,,
5843,,
6057,,
18602,,
2396,,
9028,,
15673,,
16428,,
13402,,
16449,,
12318,,
11623,,
13421,,
3414,,
13397,,
7875,,
5863,,
5621,,
3875,,
9367,,
1863,,
17026,,
357,,
9089,,
866,,
968,,
1932,,
3664,,
3809,,
12309,,
9234,,
10703,,
2844,,
11289,,
19521,,
20175,,
932,,
19322,,
10771,,
795,,
6033,,
15115,,
10131,,
17746,,
20560,,
21472,,
4553,,
1278,,
4766,,
6965,,
7420,,
7836,,
8422,,
8308,,
8778,,
8812,,
20091,,
9273,,
9940,,
10002,,
14664,,
17799,,
20700,,
1199,,
12680,,
17284,,
10069,,
10564,,
11025,,
11384,,
11364,,
11402,,
11266,,
13816,,
11648,,
12174,,
12403,,
2971,,
13544,,
21416,,
14179,,
12702,,
7401,,
19405,,
20537,,
12994,,
13127,,
20771,,
14273,,
14413,,
16752,,
17102,,
17836,3.05,20.0
17842,,
18709,,
3883,,
10621,,
18759,,
20988,,
4934,,
7132,,
19220,,
19122,,
11090,,
2965,,
21167,,
4364,,
15092,,
18294,,
21173,,
21187,,
21382,,
16209,,
22058,,
22128,,
18112,,
6703,,
9131,,
13522,,
5255,,
6234,,
6573,,
3653,,
13647,,
13849,,
14719,,
17332,,
13457,,
18794,,
21363,,
16275,,
10144,,
10927,,
3345,,
15665,,
1747,,
16700,,
1898,,
3609,,
7595,,
14517,,
5443,,
22121,,
8677,,
17005,,
18123,,
16,,
21753,,
33,,
2608,,
11135,,
3410,,
9628,,
12220,,
12901,,
15904,,
6368,,
1637,,
1728,,
6534,,
1990,,
2451,,
20639,,
3269,,
17459,,
6636,,
9646,,
9485,,
16364,,
4759,,
12376,,
12474,,
5768,,
5952,,
11375,,
19136,,
13742,,
20204,,
9300,,
11223,,
12224,,
12572,,
13678,,
19226,,
18898,,
14861,,
20692,,
2046,,
15189,,
16317,,
2921,,
5374,,
3016,,
9931,,
13590,,
18449,,
17918,,
10937,,
9537,,
7184,,
10198,,
12884,,
3993,,
8025,,
7979,,
8026,,
21447,,
20165,,
18311,,
18136,,
17557,,
6580,,
19881,,
14319,,
5962,,
1869,,
4103,,
11669,,
5092,,
9861,,
21982,,
16324,,
1426,1.9090909090909092,11.0
14453,1.9090909090909092,11.0
5927,1.9090909090909092,11.0
4735,,
14778,,
13085,,
9424,,
6470,,
14462,,
21527,,
19742,,
9869,,
18473,,
15366,,
21762,,
3596,,
12861,,
3918,,
6302,,
298,,
16440,,
18776,,
935,,
11683,,
21812,,
1249,,
6026,,
6700,,
17639,,
794,,
16579,,
7360,,
1289,,
1895,,
16115,,
20290,,
22630,,
15877,,
2825,,
3233,,
21122,,
11015,,
19918,,
19656,,
11221,,
6206,,
7047,,
11461,,
17616,,
11275,,
12841,,
17843,,
18690,,
18259,,
17125,,
15084,,
19343,,
20094,,
8466,,
1587,,
8594,,
1884,,
39,,
5123,,
10989,,
3623,,
9575,,
45,,
