business_id,review_id,user_id,RecommendationId,bus_categories,bus_latitude,bus_latitude_rounded2,bus_longitude,bus_longitude_rounded2,bus_name,bus_neighborhoods,bus_open,bus_review_count,bus_stars,bus_state,bus_zip_code,user_average_stars,user_name,user_review_count,user_votes,chk_checkin_info
OaTFqMIAHUhJckgvbP9IXA,nnYjybfVAGcT5UVsdyaOTQ,YnHYlN1m7jDhAH9XgR4Dlg,18106,"[u'Diners', u'Restaurants']",33.6105645,33.61,-112.170744,-112.17,Denny's,,True,4,3.5,AZ,85306,4.09,Ryan,33.0,"{u'funny': 4, u'useful': 5, u'cool': 1}","{u'0-6': 1, u'15-2': 1, u'18-3': 1, u'23-4': 2, u'23-5': 1, u'0-5': 1, u'2-0': 1, u'2-1': 1, u'18-6': 1, u'0-3': 1, u'1-3': 2, u'19-0': 2, u'1-6': 1, u'11-5': 2, u'11-1': 2, u'11-3': 1, u'11-2': 1, u'12-4': 2, u'8-6': 1, u'7-5': 1, u'17-5': 1, u'17-2': 1, u'10-0': 1, u'10-2': 1, u'10-6': 1}"
Me6hKl5pjH2KCuxLZm6pzQ,gYyhbMTsDBn1chdQ1sYIcA,A-D1tG2sx5lP0KIRhvO1kw,15089,"[u'Fast Food', u'Restaurants']",33.306462,33.31,-111.888963,-111.89,Chick-Fil-A,,True,21,4.0,AZ,85224,3.84,Rose,46.0,"{u'funny': 8, u'useful': 32, u'cool': 5}","{u'20-2': 2, u'11-3': 3, u'10-5': 2, u'11-2': 8, u'21-4': 1, u'8-2': 1, u'16-1': 1, u'15-1': 3, u'16-0': 2, u'15-2': 2, u'15-5': 1, u'15-4': 2, u'21-3': 1, u'18-0': 3, u'18-1': 2, u'18-2': 3, u'18-3': 2, u'18-4': 3, u'18-5': 2, u'12-0': 8, u'14-4': 2, u'14-6': 1, u'14-0': 1, u'20-3': 2, u'14-2': 2, u'14-3': 2, u'16-4': 5, u'19-4': 7, u'17-0': 6, u'19-1': 2, u'19-0': 1, u'8-5': 1, u'19-2': 1, u'11-5': 3, u'11-4': 8, u'13-1': 1, u'13-0': 3, u'11-1': 3, u'11-0': 3, u'13-5': 2, u'13-4': 1, u'5-1': 1, u'12-4': 7, u'12-5': 11, u'12-2': 7, u'12-3': 4, u'6-0': 1, u'12-1': 8, u'13-3': 2, u'9-3': 2, u'9-2': 1, u'9-5': 1, u'5-3': 1, u'13-2': 1, u'7-3': 1, u'8-0': 1, u'7-1': 1, u'23-0': 1, u'20-5': 1, u'20-4': 2, u'7-5': 2, u'7-4': 4, u'16-2': 2, u'20-1': 4, u'17-5': 2, u'17-4': 3, u'17-3': 2, u'17-2': 5, u'17-1': 4, u'16-5': 2, u'8-4': 1, u'10-1': 2, u'10-2': 4, u'10-3': 3, u'10-4': 1, u'8-1': 1, u'10-6': 1, u'8-3': 1}"
z3yFuLVrmH-3RJruPEMYKw,gTTbcFhTa0GgM84ppX3ykA,SU74tBtwUJR_19r2c7532Q,5348,"[u'Delis', u'Restaurants', u'Sandwiches', u'Italian']",33.4740662,33.47,-111.9270986,-111.93,Defalco's Italian Grocery,,True,270,4.5,AZ,85257,3.94,Rhett,17.0,"{u'funny': 6, u'useful': 11, u'cool': 5}","{u'17-0': 8, u'11-3': 36, u'11-6': 21, u'11-2': 36, u'17-5': 9, u'17-6': 14, u'16-1': 7, u'10-6': 5, u'23-6': 1, u'15-0': 1, u'15-3': 2, u'15-5': 14, u'15-4': 5, u'15-6': 14, u'18-0': 15, u'18-1': 16, u'18-2': 16, u'18-3': 9, u'18-4': 11, u'18-5': 11, u'18-6': 17, u'14-4': 5, u'14-5': 13, u'14-6': 12, u'14-0': 8, u'14-1': 11, u'14-2': 5, u'14-3': 11, u'17-3': 14, u'0-5': 1, u'17-1': 7, u'19-5': 8, u'19-4': 10, u'19-6': 10, u'19-1': 13, u'23-3': 1, u'19-3': 10, u'19-2': 13, u'13-3': 12, u'11-4': 37, u'13-1': 8, u'13-0': 14, u'11-1': 47, u'13-6': 29, u'13-5': 27, u'13-4': 10, u'12-6': 17, u'12-4': 33, u'12-5': 28, u'12-2': 23, u'12-3': 30, u'12-0': 41, u'12-1': 38, u'11-5': 20, u'9-3': 1, u'9-5': 1, u'9-4': 1, u'13-2': 9, u'20-1': 2, u'20-0': 4, u'20-3': 11, u'20-2': 6, u'20-5': 4, u'20-4': 4, u'19-0': 9, u'20-6': 6, u'16-2': 4, u'16-3': 9, u'16-0': 6, u'17-4': 11, u'16-6': 21, u'17-2': 13, u'16-4': 7, u'16-5': 7, u'10-0': 20, u'10-1': 8, u'10-2': 9, u'10-3': 16, u'10-4': 17, u'10-5': 6, u'21-2': 1, u'11-0': 71}"
z3yFuLVrmH-3RJruPEMYKw,RhDtcCkLCh-vg5_Ocb8lmg,f4CExFYr3GTMSBD4BccDQw,11993,"[u'Delis', u'Restaurants', u'Sandwiches', u'Italian']",33.4740662,33.47,-111.9270986,-111.93,Defalco's Italian Grocery,,True,270,4.5,AZ,85257,3.57,Ashlie,21.0,"{u'funny': 17, u'useful': 28, u'cool': 20}","{u'17-0': 8, u'11-3': 36, u'11-6': 21, u'11-2': 36, u'17-5': 9, u'17-6': 14, u'16-1': 7, u'10-6': 5, u'23-6': 1, u'15-0': 1, u'15-3': 2, u'15-5': 14, u'15-4': 5, u'15-6': 14, u'18-0': 15, u'18-1': 16, u'18-2': 16, u'18-3': 9, u'18-4': 11, u'18-5': 11, u'18-6': 17, u'14-4': 5, u'14-5': 13, u'14-6': 12, u'14-0': 8, u'14-1': 11, u'14-2': 5, u'14-3': 11, u'17-3': 14, u'0-5': 1, u'17-1': 7, u'19-5': 8, u'19-4': 10, u'19-6': 10, u'19-1': 13, u'23-3': 1, u'19-3': 10, u'19-2': 13, u'13-3': 12, u'11-4': 37, u'13-1': 8, u'13-0': 14, u'11-1': 47, u'13-6': 29, u'13-5': 27, u'13-4': 10, u'12-6': 17, u'12-4': 33, u'12-5': 28, u'12-2': 23, u'12-3': 30, u'12-0': 41, u'12-1': 38, u'11-5': 20, u'9-3': 1, u'9-5': 1, u'9-4': 1, u'13-2': 9, u'20-1': 2, u'20-0': 4, u'20-3': 11, u'20-2': 6, u'20-5': 4, u'20-4': 4, u'19-0': 9, u'20-6': 6, u'16-2': 4, u'16-3': 9, u'16-0': 6, u'17-4': 11, u'16-6': 21, u'17-2': 13, u'16-4': 7, u'16-5': 7, u'10-0': 20, u'10-1': 8, u'10-2': 9, u'10-3': 16, u'10-4': 17, u'10-5': 6, u'21-2': 1, u'11-0': 71}"
Nh9BjVPHdrZMn2naUxO6hg,iFVJfK3AO1VIxDaqEfwR2w,fkIz-Dnzg-PofuXexJ8wDg,10306,"[u'Tex-Mex', u'Restaurants']",33.463919,33.46,-112.358687,-112.36,Chipotle Mexican Grill,[],True,24,,AZ,85395,,Jessica,1.0,,"{u'13-5': 3, u'11-2': 4, u'21-0': 1, u'16-1': 3, u'16-3': 2, u'15-1': 1, u'15-0': 2, u'15-3': 1, u'15-2': 1, u'15-5': 1, u'17-5': 2, u'15-6': 1, u'18-1': 7, u'18-2': 4, u'18-3': 4, u'18-4': 3, u'18-5': 3, u'18-6': 3, u'14-4': 5, u'14-5': 2, u'14-6': 2, u'14-0': 1, u'14-1': 1, u'14-3': 1, u'13-3': 3, u'19-5': 1, u'19-4': 2, u'19-1': 3, u'19-0': 1, u'19-3': 1, u'19-2': 6, u'11-5': 2, u'11-4': 6, u'13-0': 5, u'11-1': 2, u'11-0': 1, u'11-3': 2, u'13-4': 2, u'17-3': 3, u'12-4': 5, u'12-5': 3, u'12-2': 6, u'12-3': 1, u'12-0': 5, u'12-1': 6, u'5-4': 1, u'11-6': 5, u'22-2': 1, u'13-2': 1, u'20-1': 1, u'20-0': 2, u'20-3': 3, u'20-2': 2, u'20-5': 1, u'20-4': 2, u'20-6': 1, u'16-2': 1, u'17-6': 3, u'16-0': 1, u'17-4': 5, u'16-6': 4, u'17-2': 3, u'17-1': 3, u'17-0': 1, u'10-1': 1, u'10-2': 2, u'10-4': 2, u'10-5': 1, u'21-2': 1, u'21-3': 1}"
MPyxaNVuWlAQqJ0iKV5rQw,3ysHNt5Utq1XXVRuwkJapg,uLl--7BS9Cj6qOY2IqoyiA,763,"[u'Restaurants', u'Buffets', u'Italian']",33.3482589,33.35,-111.9088346,-111.91,VinciTorio's Restaurant,[],True,136,,AZ,85284,3.76,Rickey Lynn,25.0,"{u'funny': 3, u'useful': 29, u'cool': 7}","{u'17-0': 2, u'12-2': 5, u'13-4': 1, u'16-1': 1, u'22-6': 1, u'15-0': 1, u'17-5': 3, u'15-6': 1, u'18-0': 2, u'18-1': 2, u'18-2': 7, u'18-3': 4, u'18-4': 8, u'18-5': 9, u'18-6': 8, u'14-4': 1, u'17-3': 2, u'14-6': 2, u'14-0': 1, u'21-6': 1, u'16-4': 3, u'19-5': 7, u'19-4': 15, u'19-6': 3, u'19-1': 2, u'19-0': 1, u'19-3': 3, u'19-2': 12, u'11-5': 3, u'11-4': 6, u'13-1': 3, u'13-0': 4, u'11-1': 5, u'13-6': 1, u'11-3': 3, u'11-2': 4, u'12-4': 2, u'12-5': 1, u'6-2': 1, u'12-3': 2, u'12-0': 6, u'12-1': 4, u'9-0': 1, u'13-2': 1, u'20-0': 2, u'20-3': 4, u'20-2': 3, u'20-5': 4, u'20-4': 4, u'20-6': 1, u'16-2': 2, u'17-6': 9, u'16-0': 4, u'17-4': 2, u'16-6': 3, u'17-2': 4, u'17-1': 2, u'16-5': 2, u'10-0': 1, u'21-5': 3, u'10-2': 1, u'10-4': 2, u'21-2': 1, u'11-0': 3}"
MPyxaNVuWlAQqJ0iKV5rQw,gxFHfJaZg9638sF_eUv2Vw,EatFwqsWfwitv6r605Q20A,13644,"[u'Restaurants', u'Buffets', u'Italian']",33.3482589,33.35,-111.9088346,-111.91,VinciTorio's Restaurant,[],True,136,,AZ,85284,3.94,Lauren,17.0,"{u'funny': 0, u'useful': 4, u'cool': 1}","{u'17-0': 2, u'12-2': 5, u'13-4': 1, u'16-1': 1, u'22-6': 1, u'15-0': 1, u'17-5': 3, u'15-6': 1, u'18-0': 2, u'18-1': 2, u'18-2': 7, u'18-3': 4, u'18-4': 8, u'18-5': 9, u'18-6': 8, u'14-4': 1, u'17-3': 2, u'14-6': 2, u'14-0': 1, u'21-6': 1, u'16-4': 3, u'19-5': 7, u'19-4': 15, u'19-6': 3, u'19-1': 2, u'19-0': 1, u'19-3': 3, u'19-2': 12, u'11-5': 3, u'11-4': 6, u'13-1': 3, u'13-0': 4, u'11-1': 5, u'13-6': 1, u'11-3': 3, u'11-2': 4, u'12-4': 2, u'12-5': 1, u'6-2': 1, u'12-3': 2, u'12-0': 6, u'12-1': 4, u'9-0': 1, u'13-2': 1, u'20-0': 2, u'20-3': 4, u'20-2': 3, u'20-5': 4, u'20-4': 4, u'20-6': 1, u'16-2': 2, u'17-6': 9, u'16-0': 4, u'17-4': 2, u'16-6': 3, u'17-2': 4, u'17-1': 2, u'16-5': 2, u'10-0': 1, u'21-5': 3, u'10-2': 1, u'10-4': 2, u'21-2': 1, u'11-0': 3}"
wdkVP5rNQHCbQTSBVfJrgQ,pev6a8dw01IsMun6qxgszA,EabJsW5sDkfUx0WIhqlJeg,17032,"[u'Shopping', u'Cosmetics & Beauty Supply', u'Beauty & Spas']",33.3059804,33.31,-111.887184,-111.89,Ulta Salon Cosmetics & Fragrance,,True,12,2.5,AZ,85224,3.79,K,19.0,"{u'funny': 7, u'useful': 15, u'cool': 3}","{u'13-5': 1, u'15-1': 1, u'15-2': 2, u'15-5': 2, u'15-4': 1, u'15-6': 2, u'18-3': 2, u'22-3': 1, u'22-2': 1, u'18-6': 1, u'14-4': 3, u'14-5': 1, u'14-6': 1, u'17-3': 2, u'9-0': 1, u'19-4': 2, u'17-0': 1, u'19-1': 1, u'19-3': 1, u'19-2': 3, u'11-5': 2, u'13-1': 3, u'11-6': 1, u'13-6': 2, u'11-3': 1, u'13-4': 1, u'12-6': 1, u'12-4': 1, u'12-5': 3, u'12-3': 2, u'13-3': 1, u'17-4': 3, u'16-6': 3, u'16-5': 1, u'10-0': 1, u'10-1': 2, u'8-6': 1, u'8-0': 1, u'10-6': 2, u'11-0': 1}"
NhdIZvpM11d720SskLvRpA,lQGV7FlgPG3y0V7_CGUM_w,J5rcmcc7M4CD-fhpIF9hqQ,17508,"[u'Burgers', u'Restaurants']",33.3151,33.32,-111.97941,-111.98,Wendys,[],True,3,,AZ,85044,3.0,Jeanette,28.0,"{u'funny': 6, u'useful': 32, u'cool': 12}","{u'0-4': 1, u'9-0': 1, u'9-2': 1, u'19-1': 1, u'18-0': 1, u'13-2': 1, u'8-3': 1, u'16-1': 1, u'11-1': 2, u'13-6': 2, u'16-5': 1, u'14-6': 1, u'12-5': 1, u'12-3': 1, u'12-4': 2, u'12-1': 2}"
74qDPs2dR6gSzDp6N1U-Og,iY3bWPdu0OqPnWDS4czKyw,5c4p-A1sLBlpS1cPaMpdBg,8874,"[u'Restaurants', u'Italian']",33.463092,33.46,-112.34477,-112.34,Sal's Tuscan Grill,,True,51,4.0,AZ,85395,4.11,Stephanie,28.0,"{u'funny': 4, u'useful': 27, u'cool': 4}","{u'22-6': 1, u'15-2': 1, u'15-5': 2, u'15-4': 2, u'18-1': 1, u'18-2': 1, u'18-3': 2, u'18-4': 5, u'18-5': 2, u'18-6': 2, u'14-5': 1, u'14-6': 3, u'14-0': 1, u'14-3': 2, u'19-5': 2, u'19-4': 2, u'19-1': 4, u'19-0': 2, u'19-3': 2, u'19-2': 3, u'13-3': 1, u'13-2': 1, u'13-5': 2, u'13-4': 1, u'12-6': 4, u'12-5': 3, u'12-3': 2, u'12-0': 3, u'20-5': 1, u'20-4': 4, u'17-6': 2, u'16-0': 5, u'16-1': 2, u'17-3': 2, u'17-2': 2, u'17-1': 1, u'10-0': 1}"
