user_id,business_id,RecommendationId
2WkM3pYfx7bt46tv7u4hHA,AuMz7XGkjLcIUurp_AD51w,1
eHWbF0k5QOBLgQXhGdeHmg,8i5hB_dmf33NVbWE5SwoMQ,2
HrjjHfDGTafXyKpQKNrYHg,nvaAUTTl7oqiJDhuimNG6A,3
DrWLhrK8WMZf7Jb-Oqc7ww,QwaoxP5Mgm3PJuZo_4bFsw,4
jDCONTPR6nyc3J7iimwzkQ,0lEp4vISRmOXa8Xz2pWhbw,5
u92heLV7I15JSszhSbYYHA,kctHb_sEIkeH47ldwqDxww,6
q5nFaw9isjD_01PpVAR7hg,2HHf0hiKtZm5nzt3irlaDA,7
bRADK4allaivGofRagfx6Q,jTcLbRCOCnGB4wCgsIYswg,8
jVMOg4mMTEs8kzpwtz7Qkw,38hRKTr67-RnoryoBtapoA,9
GOwr-GpWKBzf7vhcc2cH9g,b-t3nNmRw6alKw4aSqAgPg,10
GTsPUBdtajlK34zrJkxDLw,rfRTBch5yMEFXLn34e2R-Q,11
35Pu4C1t7W2Ju244IV296A,8IKkVbylBYRruaYjFPXqtg,12
lMPTQT0jf6-S7AxhMoOZzQ,GYPHQGaB4Oeq9veH-p2nKA,13
ETrSs9dpPwxqi1mYfbMmvw,qNoNkF1yJctEs3t40VkX4w,14
66CvWYdsXZcInKUGw62BwA,DF-7XU1Wncxx3XqZoiIIGg,15
uZbTb-u-GVjTa2gtQfry5g,DBoebGeuz91QAP3tSFYs6w,16
wgce11aw6PRJ4NECkuKK1g,xu4zDdi46zaJ_pvDtruiaw,17
XAYnVFLCV7i3iR4qs4eeQQ,jgHNa2VHgeCANh8bgFDjjQ,18
_aguQTUp7kMlWhWr2mojdA,DF-7XU1Wncxx3XqZoiIIGg,19
TYvk87nV1T3duSwoEPMAfw,AuMz7XGkjLcIUurp_AD51w,20
-y9OltpeZsNiTGjq7weTBQ,TG43zoUOuWqNXDCUDshsvQ,21
dzJMS9cBlpKr3FzRoh1snw,59VVVF8Y9UD1tEpXD5PghQ,22
Syc4pbEkL3bbzjO4X4HhQw,aPdDcFXPsWVxBhaXuZcDpw,23
kJyR4gT1pfCcNjEY9-YMoQ,pLCRUdm0YGfRL3lR9PSkcA,24
W9n_ZyVCXD0HfPqn6qriOw,FMrpyKPa4ffQmo015b3Bmg,25
GPchh5Jw7Go8nhI7WqF-ug,Vn8qcaX64fkl8vByCsSvIg,26
