business_id,grp_cat_counts,grp_cat_avg_stars
0FNFSzCFP_rGUoJx8W7tJg,5,4.3
pmHX7FRWdpizs6fBvaX1xw,5,4.3
rRXGdtqUTBtczey1DGenEQ,5,4.3
p9UUsIK1y3MbtS4aD0KsiA,5,4.3
KetHG4JpYO6a3mlYNCONRg,5,4.3
jYyfLGMURG2pQ6k80R4eZA,5,4.3
IWPt6Qmgq9Z4gqn5qmdtFg,5,4.3
4er-EjNcakvEzbjoA21Hcg,5,4.3
42Ai9wcFPE2HZ_aADGXI9Q,5,4.3
NLwoqRvU45qQqU_eNEEarw,5,4.3
SYZe9ds-9aKHFtiyEPmQIA,5,4.3
Hbw2b6psKy4nGt4P-T6UVQ,5,4.3
k2eGQnrivx92ozZgfi8ZYQ,5,4.3
YMDchZ4blsudQe9xIY5MAg,5,4.3
bO-WvOxfPzNbwSD87KuiBQ,5,4.3
VPhIfMKNLQK-McVq2XTQSg,5,4.3
s-52LFeqr9ZJZyH8nIBG5A,5,4.3
-8Z6AiHwXInpnl6Q1Ey_5w,5,4.3
WmmU8bMlyglXHflkJs9txQ,5,4.3
u2pth8fvWRF8bkvGOfunyA,5,4.3
Ase-gwT_0s4Wfv7XWXzE6A,5,4.3
JqxuioXJG8OsQVPLrlGRQA,5,4.3
pU2yeKn-NNJnbMLuFfAXBQ,5,4.3
3f_lyB6vFK48ukH6ScvLHg,8,3.375
j1Ql05L7wn_8GGLj3jHkWg,8,3.375
Q7Yo02l--O9KMWYYNukY0w,8,3.375
DflKgFbxt9VuqjSoI21XFQ,8,3.375
dHWEaIOAJkh3hkM0izme8w,8,3.375
UeHMkdqyWTEH3jg6jEMiew,8,3.375
ThoHSIaDxYK6MHGskindFg,8,3.375
T0UFsLISaUWNs1GV4Yof4Q,8,3.375
i-_zPMYB-DrAuRNOwhYE5g,8,3.375
HewFMHr2HWfxmjCrflnKrw,8,3.375
730M13RDJy3gfhcWICUipg,8,3.375
WOIo4caon_LE3UjSFcnyEA,8,3.375
29ub4twRqgmWb5iMosV4ig,8,3.375
OnaUCK6fN18yYELUnhHNzQ,8,3.375
_grGGf6_m3fGW_U9lY-pXg,8,3.375
OG5OYByXR3vA_c_DZ8PvJg,8,3.375
ie3Z-b4O7109XG_PidosKQ,8,3.375
YAVb5F24GTqQ5qNTnDAZOQ,8,3.375
9cJK2ZmiZ1rqqWROh-yQtw,8,3.375
_FnQ-PWDknNpjxv8FsqnZQ,8,3.375
tQS6TT2B__SzsWxPZ-RrNw,8,3.375
-1N0Z3uM8xbxKS8XiAnaog,8,3.375
IFx7uG8_uAN1cJqMB9wyFw,8,3.375
ZzkAAfn6Y4HGd2eUi34EHQ,8,3.375
YDyN11CdbO0ZwTlPwa5KnA,8,3.375
ASsdxZQCYX39MwkNazB8bA,8,3.375
eM0BAZ57RDHdhvXc72O8Pg,8,3.375
WVwnnx8Cut5Wih2KYtXKcQ,8,3.375
yCHl3yjuhEqd1eeQjcLUaQ,8,3.375
EExUrv6rX1ajgayj8oP7yg,8,3.375
EJtKp4zxxZajJuVJu5qfgA,8,3.375
VX2Jw-AxnE87KS385HDuWQ,8,3.375
4b9ykDXLI2nyBUUiNt0V7Q,8,3.375
9DB48MHMahGgiMUa5Dgu1A,8,3.375
n7snytnuDnAWmGb60YUl7g,8,3.375
w5kFiyf1nINegQi1OcVeLA,8,3.375
N9RfriA_Jt9qk_yxuKlzmQ,8,3.375
fwtnvLp2WknJXNwo2wYGNw,8,3.375
DJze-lgFSmKJtMROr2Vddw,8,3.375
aHv7rdAOuV8bV-dopNQdvA,8,3.375
U9J3XvKuMVfm17SKOjZncw,8,3.375
JJI8KMFkb1UMUftSDajY_w,8,3.375
sd2DscOiGyBJiNP5AqPfqQ,8,3.375
n8zMpWe7BT5OO0PKuZf5Kw,8,3.375
MXFcSmW3m-9IXQEA_7l62g,8,3.375
Gbls8ltK7NUonYrW-kRK2g,8,3.375
Xxhj0sE85jLrpDmQTpn7tg,8,3.375
K8JErqh6BtOQvPwkd2hpvw,8,3.375
gqsnResjwg540DmfyvT5LA,8,3.375
EjdHWoYUsYIglMuFJFa4rg,8,3.375
X0BgAqHpP7rojPUkk8QWUg,8,3.375
V2ZVpEceFXxeyurZudgUyQ,8,3.375
ZtE1deRN-_4QtAXxxl53tg,8,3.375
UBq0EyWQe42H0lrq0PXXqQ,8,3.375
2DVpXULFcUQCqqGPxw6wWQ,8,3.375
MUT6gWy0NtuV2IioiYUWFg,8,3.375
78MMooWF0817lobOBJHHxQ,8,3.375
F0l8mp0U8BZDF2IBeWZduw,8,3.375
MpDYU6gfgwvagUbg2kfncw,8,3.375
9rm2_ReZLPm3kOUiMpb0ZQ,8,3.375
Ln41atp8B5IKHihCh93S2g,8,3.375
rKbYn0Nssuc4S_9nq0gcHA,8,3.375
V43zNBg40i3vx81-siu7mw,8,3.375
UF4TV1U62zb6EK0i1dmrhA,8,3.375
HRjDpeJOL02ZqwrYgtHV_A,8,3.375
JWvdQoRe00tbdNwfZYeK6g,8,3.375
sT0-hy6JaVroftN2TpV8ZQ,8,3.375
Q6f_7tOLjCONnrJ8ytNlEA,8,3.375
5BvfodvL-wuBDRy4cPnk_Q,8,3.375
SbieCdRBz33V_Hl0sU8HFg,8,3.375
ztN3qDONemBwjQNHRY29AQ,8,3.375
eQ-UFxx6Cd7TzDwGAr3kCQ,8,3.375
HYQkeVwAslLyTO0aZzg9qw,8,3.375
eOr2Kpr-LtDst2IpiAK2Dg,8,3.375
eHC08tLY4PffI-pAh7q0rQ,8,3.375
peEtKzZhsQrQgBcrEXyBPQ,8,3.375
SBQ35yL6jFvFsuXTB6lXrw,8,3.375
3UBiDR6L-U8xl53C3x64TQ,8,3.375
7_pBQ2IJKxAumHl8hMAPXA,8,3.375
Xhl9kV7_GtZdaVHJXlnucg,8,3.375
ApN_f85W091Ufxq4_qYUzw,8,3.375
o8Olw8RjgziJh4vPaFlqNQ,8,3.375
77oW-QeIXbUoTbUbrdD2aA,8,3.375
IO_8KmibZ8hVVlF4h-7BuQ,8,3.375
-fIGHIUdHX-T_ZGh2IQz4Q,8,3.375
k-gACaMlFY5-Sgzd6i6QkQ,8,3.375
kLAxRU19GwueWSMwXAr0vg,8,3.375
CDPgaeHbkMKeJ0wwSXEY7g,8,3.375
Am3ZhUZjy4VmQNwdn9ww8A,8,3.375
0PO74pfETLFUs0AcdvdCdQ,8,3.375
-JxBD4rhbIXW3R5CFNox0w,8,3.375
fMqEPInEm9Fl5h8oJWPEjA,8,3.375
jMbvh2zELeV724RsY7mpNw,8,3.375
CgHAyABNgzVYOv0-IjZ7yA,8,3.375
G7M9nUtsx75hHlhKkVn6vA,8,3.375
X-L8U0Kjsb6ey4gNf6fyLQ,8,3.375
MsouJnTwEDlufZWS5oNy_w,8,3.375
kkbItNcCqdue6zUH-ZtwqA,8,3.375
ojvwSyvmxsli8toz497T7w,8,3.375
UB_JlcIRgQsdKzQZQyHjuw,8,3.375
WQzz4_2HFKWnmfXgomnRjA,8,3.375
gUt1OMval0UORqUCZomPjA,8,3.375
RuVjH9OOwIaUqgOpbV4hJg,8,3.375
yFaf4-3_zEac5AUC84Vlcg,8,3.375
H7oxbxOf8Et5n6OD9uKgdA,8,3.375
os_r5fCkmjeP980CLv20MQ,8,3.375
0x0voDMo5yMQI2601ovjOQ,8,3.375
yZxWyxJeUprGCuT1Nj0B6A,8,3.375
lubFd6yUPFxVmhyeglvtZw,8,3.375
yRz59y1Sx7sRQAt-mb802w,8,3.375
QKD4PtM5ue3OMYm2WK4Quw,8,3.375
rO1BrNjNKcbPlyAdhjGTiw,8,3.375
JVmPxs-yN5VR1l4_-7MZww,8,3.375
