category,cat_count,cat_avg_stars
Restaurants,149319,3.74141268
Food,31011,3.940112229
Nightlife,28389,3.708462514
Bars,25484,3.714218456
American (New),22696,3.854989422
Mexican,18880,3.632997881
American (Traditional),16692,3.563758389
Pizza,13614,3.813675088
Shopping,13236,3.795344619
Italian,11909,3.91773002
Breakfast & Brunch,11208,3.806745182
Sandwiches,10384,3.888867488
Burgers,8434,3.659511385
Coffee & Tea,7789,4.021571649
Arts & Entertainment,7457,3.86708691
Hotels & Travel,6863,3.542977855
Sushi Bars,6845,3.641583869
Chinese,6832,3.569818501
Event Planning & Services,6759,3.729733728
Steakhouses,5633,3.802201705
Active Life,5567,3.975574713
Japanese,5553,3.685698847
Beauty & Spas,5205,4.006149116
Lounges,5041,3.732142857
Grocery,4796,3.858632193
Hotels,4680,3.652350427
Ice Cream & Frozen Yogurt,4361,4.016284404
Mediterranean,4334,3.90751845
Sports Bars,4291,3.328285182
Pubs,4258,3.873120301
Wine Bars,4237,4.074598678
Asian Fusion,4002,3.711644178
Thai,3926,3.815843097
Bakeries,3900,3.908205128
Seafood,3809,3.729254202
Fashion,3719,3.709408602
Barbeque,3692,3.655471289
Delis,3594,3.798831386
Vegetarian,3314,3.968014484
Specialty Food,3228,4.160780669
Fast Food,3221,3.399378882
Automotive,2974,3.669468729
Vietnamese,2843,3.838959212
Music Venues,2617,3.845183486
Breweries,2492,3.874398074
Desserts,2387,3.945142379
Buffets,2368,3.453125
Greek,2333,3.775300172
"Beer, Wine & Spirits",2236,4.040697674
Tex-Mex,2107,3.655597723
Health & Medical,2106,3.992877493
Fitness & Instruction,1897,3.963099631
Hot Dogs,1887,3.980922099
Home Services,1858,3.67868676
Latin American,1857,4.007000539
Cinema,1649,3.762886598
Local Services,1646,3.906439854
Home & Garden,1594,3.913425345
French,1570,3.910828025
Indian,1563,3.678822777
Vegan,1554,4.086872587
Diners,1496,3.612967914
Pets,1442,4.201803051
Nail Salons,1427,3.667834618
Dive Bars,1406,3.711237553
Day Spas,1381,4.056480811
Parks,1356,4.215339233
Department Stores,1344,3.433035714
Hawaiian,1316,3.840425532
Bagels,1305,3.648275862
Irish,1296,3.699074074
Gluten-Free,1267,3.621152328
Southern,1189,3.837678722
"Books, Mags, Music & Video",1155,4.058008658
Shopping Centers,1147,3.513513514
Auto Repair,1135,3.834361233
British,1107,4.179765131
Venues & Event Spaces,1098,3.671220401
Middle Eastern,1071,4.080298786
Gyms,1067,3.60262418
Women's Clothing,1066,3.820825516
Health Markets,1064,4.009398496
Caribbean,1063,3.777046096
Cafes,1058,3.875236295
Donuts,979,3.882533197
Soul Food,933,4.027867095
Ethnic Food,920,4.102173913
Sporting Goods,916,3.93231441
Dance Clubs,898,3.162583519
Museums,869,4.292289988
Stadiums & Arenas,846,3.937352246
Airports,837,3.27479092
Chicken Wings,813,3.300123001
