bus_categories,grp_cat_counts,grp_cat_avg_stars
-Mexican-Restaurants,277,3.55234657
-Chinese-Restaurants,110,3.631818182
-Pizza-Restaurants,104,3.600961538
-American (Traditional)-Restaurants,95,3.294736842
-Food-Coffee & Tea,81,3.913580247
-American (New)-Restaurants,80,3.7125
-Restaurants-Italian,76,3.651315789
-Hotels & Travel-Event Planning & Services-Hotels,73,3.547945205
-Food-Ice Cream & Frozen Yogurt,64,3.953125
-Sandwiches-Restaurants,61,3.836065574
-Burgers-Restaurants,61,3.549180328
-Thai-Restaurants,55,3.809090909
-Breakfast & Brunch-Restaurants,44,3.556818182
-Italian-Pizza-Restaurants,44,3.863636364
-Food-Grocery,40,3.7375
-Arts & Entertainment-Cinema,33,3.666666667
-Barbeque-Restaurants,30,3.716666667
-Vietnamese-Restaurants,30,3.666666667
-Steakhouses-Restaurants,29,3.706896552
-Greek-Mediterranean-Restaurants,28,3.785714286
-Sushi Bars-Japanese-Restaurants,28,3.642857143
-Tex-Mex-Restaurants,26,3.75
-Bakeries-Food,24,3.979166667
-Sushi Bars-Restaurants,23,3.630434783
-Beauty & Spas-Nail Salons,22,3.727272727
-Japanese-Restaurants,22,3.545454545
-Department Stores-Fashion-Shopping,20,3.725
-Delis-Sandwiches-Restaurants,20,3.625
-Breakfast & Brunch-American (Traditional)-Restaurants,20,3.575
-Asian Fusion-Restaurants,18,3.5
-Active Life-Gyms-Trainers-Fitness & Instruction,18,3.25
-Food-Health Markets-Grocery-Specialty Food,17,4.029411765
-Restaurants-Pizza-Italian,17,3.735294118
-Bars-Nightlife-Lounges,17,3.441176471
-Buffets-Chinese-Restaurants,16,3.15625
-Active Life-Parks,16,4.1875
"-Food-Beer, Wine & Spirits",16,4.1875
-Food-Donuts,15,3.6
-Bakeries-Food-Sandwiches-Restaurants,15,3.766666667
-Seafood-Restaurants,15,3.166666667
-Buffets-Restaurants,15,3.3
-Hot Dogs-Restaurants,15,3.6
-Arts & Entertainment-Stadiums & Arenas,15,4
-Delis-Restaurants,14,3.607142857
-Diners-Restaurants,14,3.214285714
-Fast Food-Restaurants,14,3.928571429
-Greek-Restaurants,13,3.653846154
-Local Flavor,13,3.884615385
-Shopping Centers-Shopping,13,3.423076923
-Bars-Restaurants-American (Traditional)-Sports Bars-Nightlife,13,3.153846154
-Bars-Nightlife,12,3.5
-Bars-Sports Bars-Nightlife,12,3.125
-Burgers-Fast Food-Restaurants,12,3.875
-Food-Bagels-Delis-Restaurants,12,3.291666667
-Car Wash-Automotive,11,2.818181818
-Dive Bars-Bars-Nightlife,11,3.863636364
-Bars-American (New)-Nightlife-Restaurants,11,3.772727273
-Latin American-Restaurants,11,4.045454545
-Food-Grocery-Shopping-Drugstores,10,3.25
-Shopping-Cosmetics & Beauty Supply-Beauty & Spas,10,3.5
-Wine Bars-Bars-American (New)-Nightlife-Restaurants,10,3.9
"-Food-Beer, Wine & Spirits-Grocery",10,4.2
-Hawaiian-Restaurants,9,3.444444444
-Restaurants,9,3.333333333
-Vegetarian-American (New)-Mediterranean-Restaurants,9,3.944444444
-Food-Food Delivery Services-Delis-Sandwiches-Restaurants,9,3.5
-Department Stores-Grocery-Fashion-Shopping-Food-Mobile Phones,9,2.5
-Bars-American (Traditional)-Nightlife-Restaurants,8,3.5
-Active Life-Yoga-Fitness & Instruction,8,4.4375
-Tires-Automotive,8,4
-Bars-American (Traditional)-Sports Bars-Nightlife-Chicken Wings-Restaurants,8,2.9375
-Breakfast & Brunch-Diners-Restaurants,8,3.75
-Middle Eastern-Restaurants,8,3.9375
MISSING,8,3.375
-Arts & Entertainment-Nightlife-Music Venues,8,3.75
-Day Spas-Beauty & Spas,8,4
-Active Life-Dog Parks-Parks,8,3.8125
-Bars-American (New)-Nightlife-Lounges-Restaurants,8,3.75
-Nightlife-Bars-American (Traditional)-Sports Bars-Restaurants,8,3.25
-Active Life-Golf,7,3.785714286
-Asian Fusion-Mongolian-Restaurants,7,3.714285714
-Auto Repair-Automotive,7,4.357142857
-Food-Ice Cream & Frozen Yogurt-Desserts,7,4.214285714
-Burgers-American (Traditional)-Fast Food-Restaurants,7,3.214285714
-Bars-Mexican-Nightlife-Restaurants,7,3.428571429
-Hotels & Travel-Event Planning & Services-Venues & Event Spaces-Hotels,7,3.071428571
-Caribbean-Restaurants,7,3.928571429
"-Books, Mags, Music & Video-Shopping-Bookstores",7,3.857142857
-Pakistani-Indian-Buffets-Restaurants,7,3.5
-Arts & Entertainment-Festivals,7,3.5
-Arts & Crafts-Shopping,7,3.428571429
-Food-Ethnic Food-Grocery-Specialty Food,7,4.142857143
-Breakfast & Brunch-Sandwiches-Restaurants,7,3.785714286
"-Music & DVDs-Books, Mags, Music & Video-Shopping",6,4.25
-Food-Desserts-American (Traditional)-American (New)-Restaurants,6,3.5
-Korean-Japanese-Restaurants,6,3.416666667
-Cajun/Creole-Restaurants,6,3.833333333
-Hotels & Travel-Airlines-Transportation,6,2.75
-Indian-Buffets-Restaurants,6,3.916666667
-French-Restaurants,6,3.916666667
-Day Spas-Hotels & Travel-Beauty & Spas-Event Planning & Services-Hotels,6,3.916666667
-Shopping-Drugstores,6,3.166666667
-Food-Farmers Market,6,3.833333333
-Shopping-Antiques,6,3.916666667
-Active Life-Gyms-Fitness & Instruction,6,4
-Seafood-Steakhouses-Restaurants,6,3.75
-Gluten-Free-Asian Fusion-Chinese-Restaurants,6,3.416666667
-Seafood-American (Traditional)-Restaurants,6,3.416666667
-Wine Bars-Bars-Restaurants-Nightlife-Italian,6,4.083333333
-Indian-Restaurants,6,3.666666667
-Food-Gelato,6,4.416666667
-Food-Desserts,6,4
-Museums-Arts & Entertainment,6,4.083333333
-Hardware Stores-Shopping-Home & Garden,5,3.7
-Food-Coffee & Tea-Sandwiches-Restaurants,5,3.8
-Libraries-Public Services & Government,5,4.5
-Asian Fusion-Chinese-Restaurants,5,3.3
-Local Services-Dry Cleaning & Laundry,5,4.3
-Shopping-Wholesale Stores,5,4.1
-Nightlife-Dance Clubs,5,2.8
-Mexican-Tex-Mex-Restaurants,5,3.7
