,cat_counts,cat_avg_stars
-Mexican-Restaurants,312,3.5641025641025643
-Chinese-Restaurants,123,3.5853658536585367
-Pizza-Restaurants,119,3.6050420168067228
-American (Traditional)-Restaurants,107,3.2803738317757007
-Food-Coffee & Tea,100,3.9
-American (New)-Restaurants,86,3.7151162790697674
-Hotels & Travel-Event Planning & Services-Hotels,86,3.488372093023256
-Restaurants-Italian,78,3.6538461538461537
-Sandwiches-Restaurants,77,3.7987012987012987
-Food-Ice Cream & Frozen Yogurt,71,3.9295774647887325
-Burgers-Restaurants,67,3.5074626865671643
-Thai-Restaurants,57,3.789473684210526
-Food-Grocery,50,3.68
-Breakfast & Brunch-Restaurants,46,3.5217391304347827
-Italian-Pizza-Restaurants,44,3.8636363636363638
-Arts & Entertainment-Cinema,37,3.6216216216216215
-Beauty & Spas-Nail Salons,36,3.6805555555555554
-Barbeque-Restaurants,32,3.6875
-Vietnamese-Restaurants,32,3.59375
-Greek-Mediterranean-Restaurants,31,3.7580645161290325
-Steakhouses-Restaurants,30,3.6666666666666665
-Sushi Bars-Japanese-Restaurants,29,3.6551724137931036
-Tex-Mex-Restaurants,28,3.7142857142857144
-Bakeries-Food,27,3.888888888888889
-Japanese-Restaurants,26,3.480769230769231
-Department Stores-Fashion-Shopping,25,3.76
-Sushi Bars-Restaurants,23,3.630434782608696
-Delis-Sandwiches-Restaurants,22,3.6363636363636362
-Food-Donuts,21,3.5952380952380953
-Active Life-Gyms-Trainers-Fitness & Instruction,21,3.2142857142857144
-Breakfast & Brunch-American (Traditional)-Restaurants,21,3.5476190476190474
-Buffets-Chinese-Restaurants,19,3.0789473684210527
-Fast Food-Restaurants,19,3.8157894736842106
-Burgers-Fast Food-Restaurants,19,3.3157894736842106
-Asian Fusion-Restaurants,19,3.526315789473684
-Restaurants-Pizza-Italian,18,3.6944444444444446
-Active Life-Parks,18,4.194444444444445
-Bars-Nightlife-Lounges,18,3.4722222222222223
-Seafood-Restaurants,18,3.1666666666666665
-Local Flavor,17,4.088235294117647
"-Food-Beer, Wine & Spirits",17,4.205882352941177
-Restaurants,17,3.2058823529411766
-Buffets-Restaurants,17,3.235294117647059
-Food-Bagels-Delis-Restaurants,17,3.3529411764705883
-Food-Health Markets-Grocery-Specialty Food,17,4.029411764705882
-Bars-Sports Bars-Nightlife,16,3.25
-Diners-Restaurants,16,3.1875
-Bakeries-Food-Sandwiches-Restaurants,15,3.7666666666666666
-Bars-Restaurants-American (Traditional)-Sports Bars-Nightlife,15,3.1333333333333333
