review_id,bus_id,bus_categories,cat_avg_stars,bus_cnt,till_cat_avg,variance
-KkgInOPKWxjvZwVvV0zPg,83RLRT-MsvXQJrmIanqVYA,"-Bars-Food-Beer, Wine & Spirits-Pubs-Nightlife-American (New)-Restaurants",#N/A,#N/A,#N/A,#N/A
UJdobEd9Wj-Xjkg7DHIndQ,83RLRT-MsvXQJrmIanqVYA,"-Bars-Food-Beer, Wine & Spirits-Pubs-Nightlife-American (New)-Restaurants",#N/A,#N/A,#N/A,#N/A
BoVTOobIXuQKkmz7z7Dsuw,83RLRT-MsvXQJrmIanqVYA,"-Bars-Food-Beer, Wine & Spirits-Pubs-Nightlife-American (New)-Restaurants",#N/A,#N/A,#N/A,#N/A
DNXI8G37j_fEwpdTrzIQ1Q,83RLRT-MsvXQJrmIanqVYA,"-Bars-Food-Beer, Wine & Spirits-Pubs-Nightlife-American (New)-Restaurants",#N/A,#N/A,#N/A,#N/A
AK7XY0D3cs52BczEoPEhaQ,83RLRT-MsvXQJrmIanqVYA,"-Bars-Food-Beer, Wine & Spirits-Pubs-Nightlife-American (New)-Restaurants",#N/A,#N/A,#N/A,#N/A
OyEsyIdtJyFAY6ksXfmLYQ,83RLRT-MsvXQJrmIanqVYA,"-Bars-Food-Beer, Wine & Spirits-Pubs-Nightlife-American (New)-Restaurants",#N/A,#N/A,#N/A,#N/A
MHCOkF1irkifwnwkXFw5qw,83RLRT-MsvXQJrmIanqVYA,"-Bars-Food-Beer, Wine & Spirits-Pubs-Nightlife-American (New)-Restaurants",#N/A,#N/A,#N/A,#N/A
H-Cgo2f5eBWILOfPyQpcjA,83RLRT-MsvXQJrmIanqVYA,"-Bars-Food-Beer, Wine & Spirits-Pubs-Nightlife-American (New)-Restaurants",#N/A,#N/A,#N/A,#N/A
SdmvWUsu4V9a8CwxSpFRKw,83RLRT-MsvXQJrmIanqVYA,"-Bars-Food-Beer, Wine & Spirits-Pubs-Nightlife-American (New)-Restaurants",#N/A,#N/A,#N/A,#N/A
YeU3sIWmRaWhkwE1cLqkLA,83RLRT-MsvXQJrmIanqVYA,"-Bars-Food-Beer, Wine & Spirits-Pubs-Nightlife-American (New)-Restaurants",#N/A,#N/A,#N/A,#N/A
kNqQeqlU2K8SrLm6afAVRQ,83RLRT-MsvXQJrmIanqVYA,"-Bars-Food-Beer, Wine & Spirits-Pubs-Nightlife-American (New)-Restaurants",#N/A,#N/A,#N/A,#N/A
d1YOwNp1HIXVtGrjImF2Pw,83RLRT-MsvXQJrmIanqVYA,"-Bars-Food-Beer, Wine & Spirits-Pubs-Nightlife-American (New)-Restaurants",#N/A,#N/A,#N/A,#N/A
aB-0NlFntWsUsr0vNYXZTw,83RLRT-MsvXQJrmIanqVYA,"-Bars-Food-Beer, Wine & Spirits-Pubs-Nightlife-American (New)-Restaurants",#N/A,#N/A,#N/A,#N/A
Xz6vNHPd1i1Jz5A1P0QTeg,83RLRT-MsvXQJrmIanqVYA,"-Bars-Food-Beer, Wine & Spirits-Pubs-Nightlife-American (New)-Restaurants",#N/A,#N/A,#N/A,#N/A
mlXGKcDIILBoNrlcB1TgpQ,83RLRT-MsvXQJrmIanqVYA,"-Bars-Food-Beer, Wine & Spirits-Pubs-Nightlife-American (New)-Restaurants",#N/A,#N/A,#N/A,#N/A
_ZxTIYNtIHF-JhiriKQ30w,83RLRT-MsvXQJrmIanqVYA,"-Bars-Food-Beer, Wine & Spirits-Pubs-Nightlife-American (New)-Restaurants",#N/A,#N/A,#N/A,#N/A
